project_id,author,code_smells,lines_edited,commits,sonar_smells,mean,std,cv
org.apache:dbutils,David Graham,"25,92592593","19,346935","11,15384615","17,45283019","4634,9","2920,393433","0,6300876896"
org.apache:digester,Simone Tripodi,"54,28109855","54,39866931","60,60329068","28,53549469","199,1511429","804,696665","4,040632926"
org.apache:digester,Simon Kitching,"8,400646204","6,714775362","8,912248629","13,69480157","1582,434167","3122,689048","1,973345314"
org.apache:digester,Scott Sanders,"2,100161551","3,353187271","1,508226691","5,505869201","2600,573333","3780,336805","1,453655144"
org.apache:digester,Robert Burrell Donkin,"8,885298869","13,15022346","7,084095064","25,18166574","740,9633333","1065,219957","1,437614939"
org.apache:digester,Rahul Akolkar,"2,907915994","4,280217749","6,307129799","3,773057574","11415,70333","10209,51843","0,8943398524"
org.apache:digester,Craig R. McClanahan,"6,62358643","8,017322491","4,524680073","14,36556736","2868,631111","4535,146372","1,580944428"
org.apache:felix,Timothy Bennett,"1,683937824","0,04136988464","0,09517558254","0,2690891869","0,5425","0,8919781387","1,644199334"
org.apache:felix,Stephane Frenot,"11,13989637","0,7346797924","0,4233672465","6,012528793","197,835","351,7551023","1,778022606"
org.apache:felix,Richard S. Hall,"49,61139896","10,5307153","10,354447","29,59550513","435,467619","536,8161513","1,232734945"
org.apache:felix,Michael E. Rodriguez,"5,440414508","0,3602445727","0,3249097473","2,596172475","1332,08","1742,905079","1,308408713"
org.apache:felix,Marcel Offermans,"2,07253886","1,907099557","2,973416475","2,589714335",1193,"1322,02098","1,108148349"
org.apache:felix,Manuel L. Santillan,"3,238341969","0,1454381751","0,1378404989","1,930984005","109,15","151,1255186","1,38456728"
org.apache:felix,Karl Pauls,"6,476683938","15,86851546","9,691499836","3,285040794","689,5483333","1051,582501","1,525030879"
org.apache:felix,Francesco Furfari,"8,678756477","0,3417243955","0,318345914","2,904010505","170,2125","339,7917546","1,996279677"
org.apache:felix,Alex Karasulu,"5,829015544","0,1348324216","0,1673777486","0,7254644479","492,2875","1380,934284","2,805137818"
org.apache:hive,Zheng Shao,"3,349160394","2,042440842","1,960275217","1,82281556","394,4211765","444,7185472","1,127521983"
org.apache:hive,Yongqiang He,"1,042269832","1,209406362","0,8568090354","0,514917199","1546,3075","2709,068632","1,751959834"
org.apache:hive,Xuefu Zhang,"10,06832658","3,196088019","3,083214332","11,04230607","156,3890141","315,7048401","2,018714946"
org.apache:hive,Vikram Dixit K,"0,2246670527","0,176017673","0,311566922","0,3262154453","1295,951667","1290,404238","0,9957194173"
org.apache:hive,Vaibhav Gumashta,"0,03705848292","0,5477444064","0,9022458782","0,1680963897","888,4525","994,4427495","1,119297598"
org.apache:hive,Thejas Nair,"1,20671685","0,899476808","2,232896274","1,880293681","268,3629167","374,4851408","1,395442953"
org.apache:hive,Szehon Ho,"1,023740591","0,1714700246","1,233285733","1,878124695","306,9041176","374,5115905","1,220288582"
org.apache:hive,Sushanth Sowmyan,"1,64910249","0,529156851","1,226794755","3,001225477","867,8405556","1146,304792","1,320870274"
org.apache:hive,Sergey Shelukhin,"1,357266937","1,573176451","4,043879008","2,600396924","259,9011765","604,1726664","2,324624592"
org.apache:hive,Raghotham Murthy,"0,1737116387","0,2337059515","0,1492924834","0,1583359542","739,4325","370,8712018","0,5015619436"
org.apache:hive,Prasanth J,"1,449913144","0,4529123562","0,8048812151","1,89547658","264,4326087","370,7680832","1,402126935"
org.apache:hive,Prasad Suresh Mujumdar,"0,101910828","0,01035582424","0,1298195508","0,114305545","1993,6475","2449,066784","1,22843521"
org.apache:hive,Paul Yang,"0,3080486393","0,1102265018","0,1622744385","0,1171252264","1799,25","1362,071508","0,7570218193"
org.apache:hive,Owen O'Malley,"5,795020266","1,170023587","0,6555887317","5,693370495","3137,279444","9408,646175","2,998982508"
org.apache:hive,Ning Zhang,"0,9959467284","0,8354893749","0,7659353499","1,588565108","1315,471818","1279,103331","0,9723532751"
org.apache:hive,Navis Ryu,"0,2779386219","0,2301715999","0,8243541477","0,473272674","1245,992","1317,954792","1,057755421"
org.apache:hive,Namit Jain,"4,134337001","4,005785333","4,770868493","3,325271937","407,542069","597,5827618","1,466309388"
org.apache:hive,Kevin Wilfong,"1,605095541","0,4597129361","0,5582240685","0,8465551085","964,5022222","970,7241868","1,006450959"
org.apache:hive,John Sichi,"1,753329473","0,8072528655","1,174866935","0,8051274821","625,3578947","672,145927","1,074818008"
org.apache:hive,Jitendra Nath Pandey,"0,09727851766","0,05715203203","0,1752563936","0,1687470854","237,7425","270,3732093","1,137252318"
org.apache:hive,Jason Dere,"0,5280833816","0,9425436655","2,213423342","0,820744179","328,9852941","474,1574829","1,441272578"
org.apache:hive,Harish Butani,"2,462072959","0,2461231906","0,4348954953","1,821080372","1184,85","1317,002519","1,111535232"
org.apache:hive,Gunther Hagleitner,"7,909669948","4,58585774","3,096196287","9,590820853","189,6475342","364,7839599","1,9234838"
org.apache:hive,Gopal Vijayaraghavan,"0,03011001737","0,08719924366","0,2920939894","0,1600711427","1131,876","889,6389701","0,7859862477"
org.apache:hive,Eugene Koifman,"0,05095541401","0,3330577932","1,687654161","0,109316878","593,5325","670,9358186","1,130411256"
org.apache:hive,Eric N. Hanson,"0,240880139","0,07376870765","0,1168375957","0,1685301869","195,0914286","170,0086877","0,871430841"
org.apache:hive,Edward Capriolo,"1,952518819","0,09176430269","0,3245488771","0,4476786431","2035,104","2828,502287","1,389856384"
org.apache:hive,Dhruba Borthakur,"2,594093804","0,472123211","0,2206932364","2,004142763","660,4875","556,2764474","0,842221007"
org.apache:hive,Carl Steinbach,"1,026056746","0,587935033","1,246267688","1,362123003","1180,919583","1437,587732","1,217346001"
org.apache:hive,Brock Noland,"3,189345686","1,729161489","2,979358691","5,465410101","179,4165789","285,3644079","1,590513037"
org.apache:hive,Ashutosh Chauhan,"35,53676896","11,03544349","10,30118136","33,52969884","166,4201765","378,2795521","2,273039004"
org.apache:hive,Ashish Thusoo,"0,7064273306","0,1556333438","0,3310398546","0,1290546476","442,4525","692,1915431","1,564442608"
org.apache:hive,Amareshwari Sri Ramadasu,"0,2084539664","0,169826464","0,1817473712","0,5123144162","5996,544","10082,51316","1,681387339"
org.apache:hive,Alan Gates,"6,682107701","11,59769789","1,512397767","5,080848941","1231,141538","1945,512355","1,580250763"
org.apache:httpclient,Roland Weber,"21,81677019","4,138823333","7,631257631","13,49056604","223,3660465","416,474203","1,864536753"
org.apache:httpclient,Oleg Kalnichevski,"76,70807453","87,6494578","61,5995116","77,65199161","498,476","758,2233191","1,521082899"
org.apache:httpclient,Jonathan Moore,"0,7763975155","1,426924705","3,266178266","3,406708595","3655,913333","3145,722145","0,8604476797"
