project_id,author,mean,std,cv
org.apache:cocoon,Antonio Gallardo Rivera,2524.9759999999997,2737.7793712021426,1.0842793639235158
org.apache:codec,Timothy O'Brien,1079.932,1184.2019172717125,1.0965522989148506
org.apache:validator,David Graham,1978.6375,2170.8010665568336,1.0971191370611513
org.apache:commons-jexl,Geir Magnusson Jr,1701.0883333333331,1878.7657833739322,1.1044492790638536
org.apache:felix,Marcel Offermans,1193.0,1322.020980241993,1.1081483489035984
org.apache:hive,Harish Butani,1184.85,1317.002519253475,1.1115352316778284
org.apache:hive,Vaibhav Gumashta,888.4525,994.442749529437,1.119297598385324
org.apache:commons-jexl,Sebastian Bazley,348.26666666666665,390.1463839808506,1.1202518682451683
org.apache:hive,Zheng Shao,394.42117647058825,444.7185472194725,1.1275219834770582
org.apache:hive,Eugene Koifman,593.5325,670.9358186083573,1.1304112556740487
org.apache:archiva,James William Dumay,912.366,1032.787293628267,1.131987923298618
org.apache:net,Steven M. Cohen,2633.2000000000003,2990.0551173961103,1.1355214633890742
org.apache:hive,Jitendra Nath Pandey,237.7425,270.3732092713083,1.1372523182489809
org.apache:batik,Thomas E. DeWeese,340.08024390243907,390.9533070552532,1.1495913510559832
org.apache:collections,Phil Steitz,257.6709090909091,301.11190775040916,1.168591009411053
org.apache:cayenne,Tore Halset,1241.0040000000001,1457.620811332632,1.174549647972635
org.apache:collections,Henri Yandell,12039.4,14298.576270948097,1.1876485764197633
org.apache:cocoon,Bertrand Delacretaz,1748.92,2083.1312460452414,1.1910957882837645
org.apache:validator,Robert Leland,2718.3666666666663,3258.8656170105164,1.1988322462056322
org.apache:cocoon,Vadim Gritsenko,1912.695,2296.3452267587495,1.2005809743627445
org.apache:commons-io,Jeremias Maerki,759.914,916.3754884489217,1.2058936780332008
org.apache:santuario,Raul Benito Garcia,3736.791,4515.52532021703,1.2083965413685243
org.apache:hive,Carl Steinbach,1180.9195833333333,1437.5877321446724,1.217346000890977
org.apache:hive,Szehon Ho,306.9041176470588,374.5115904591409,1.2202885817577431
org.apache:beanutils,Simon Kitching,994.86,1216.053958013377,1.2223367690060682
org.apache:cocoon,Guido Casper,1329.572,1629.0653279933251,1.2252554415957355
org.apache:hive,Prasad Suresh Mujumdar,1993.6475,2449.066784489894,1.2284352095793734
org.apache:felix,Richard S. Hall,435.46761904761905,536.8161513023315,1.232734944739094
org.apache:commons-jexl,Rahul Akolkar,113.226,140.43781908730995,1.2403318945057669
org.apache:configuration,David Eric Pugh,621.02625,772.193407359609,1.2434150848850736
org.apache:batik,Dean Jackson,1671.2766666666666,2081.997147700576,1.2457525371027196
org.apache:cocoon,Gianugo Rabellino,241.868,303.0622895049795,1.2530069686977174
org.apache:cocoon,Sylvain Wallez,860.6993333333334,1093.0132953916839,1.2699130266066785
org.apache:ognl,Simone Tripodi,1919.77,2441.667999708396,1.2718544407446706
org.apache:collections,James Strachan,962.9289999999999,1226.9006458140318,1.2741340699200376
org.apache:zookeeper,Rakesh Radhakrishnan,5270.8975,6734.229091298548,1.277624748213857
org.apache:beanutils,Craig R. McClanahan,1212.1864705882351,1549.8264333948057,1.2785379733224747
org.apache:beanutils,Robert Burrell Donkin,1062.8000000000002,1363.4587231699518,1.2828930402427094
org.apache:validator,James Turner,980.3533333333335,1262.7983109084892,1.288105286095988
org.apache:commons-fileupload,Jochen Wiedmann,2256.396666666667,2907.5046331920666,1.2885609503612985
org.apache:configuration,Henning Schmiedehausen,257.625,333.5917661603775,1.294873425173712
org.apache:vfs,Mario Ivankovits,696.118125,904.1170097462496,1.2987982603473363
org.apache:felix,Michael E. Rodriguez,1332.08,1742.9050785398497,1.308408713095197
org.apache:vfs,Ralph Goers,3238.4739999999997,4263.905874234327,1.3166404529523248
org.apache:validator,Niall Kegan Pemberton,2639.3614285714284,3480.6365791400317,1.318741928051873
org.apache:hive,Sushanth Sowmyan,867.8405555555555,1146.304792249848,1.3208702738212452
org.apache:dbcp,Sebastian Bazley,18320.08,24486.202735810224,1.3365772821849153
org.apache:archiva,Maria Odea B. Ching,978.8320000000001,1310.7535900191851,1.3390996514408857
org.apache:bcel,Emmanuel Bourg,1932.555,2611.21684422544,1.3511733659458283
org.apache:ognl,Maurizio Cucchiara,116.48375000000001,158.45813434807135,1.3603454073900552
org.apache:commons-cli,Oliver Heger,47.9575,65.40667365287226,1.3638466069514101
org.apache:configuration,Ralph Goers,1084.6542857142856,1483.0478595767697,1.3673000504489106
org.apache:httpcore,Roland Weber,707.4127272727272,971.8096444375401,1.3737519936687264
org.apache:cayenne,"Kevin Joseph Menard, Jr",606.2466666666667,837.8843962226134,1.3820849536865303
org.apache:commons-io,Henri Yandell,1414.2425,1955.0281607707511,1.3823853835327047
org.apache:felix,Manuel L. Santillan,109.14999999999999,151.12551855990435,1.384567279522715
org.apache:thrift,Bryan Duxbury,911.0419230769231,1263.0257243081608,1.3863530231874062
org.apache:beanutils,Niall Pemberton,2541.8809090909094,3529.7609240326333,1.3886413448437418
org.apache:hive,Edward Capriolo,2035.104,2828.5022871353667,1.3898563843102696
org.apache:cocoon,Unico Hommes,505.26785714285717,702.4726679619048,1.390297558079755
org.apache:hive,Thejas Nair,268.36291666666665,374.4851408065867,1.3954429526182799
org.apache:dbutils,Henri Yandell,10818.79,15162.787693831237,1.401523432272115
org.apache:hive,Prasanth J,264.43260869565216,370.76808318822043,1.402126935165378
org.apache:dbcp,Rodney Waldhoff,94.795,133.43812067771339,1.4076493557435876
org.apache:net,Sebastian Bazley,2410.267631578947,3400.7255007038543,1.410932734667339
org.apache:cocoon,Ugo Cei,1741.1525,2458.7917326765537,1.4121633416237542
org.apache:commons-jelly,Morgan James Delagrange,1189.7299999999998,1681.867621187827,1.413654880676983
org.apache:batik,Stephane Hillion,250.94736842105263,355.6443688600731,1.4172070067830094
org.apache:commons-jexl,Niall Pemberton,562.52625,803.1807206518255,1.4278102055714297
org.apache:digester,Robert Burrell Donkin,740.9633333333334,1065.2199572902884,1.437614939052704
org.apache:hive,Jason Dere,328.9852941176471,474.15748289884715,1.4412725777623532
org.apache:cayenne,Andrus Adamchik,190.9003125,275.8366647933977,1.4449251611015443
org.apache:zookeeper,Patrick D. Hunt,6224.863333333334,9011.955748450684,1.4477355189780365
org.apache:dbcp,Phil Steitz,11036.764285714284,16025.974988813065,1.452053751800851
org.apache:digester,Scott Sanders,2600.5733333333333,3780.3368045232864,1.453655144451462
org.apache:hive,Namit Jain,407.5420689655173,597.5827617959454,1.4663093881640665
org.apache:cocoon,Par Daniel Fagerstrohm,574.8471739130435,860.6101084402934,1.4971111410047167
org.apache:httpclient,Oleg Kalnichevski,498.476,758.2233190841698,1.5210828988440162
org.apache:commons-jexl,Henri Biestro,2696.1907692307695,4106.521490865887,1.5230826904868786
org.apache:felix,Karl Pauls,689.5483333333333,1051.5825008322774,1.5250308789071265
org.apache:dbcp,Dirk Verbeeck,1504.3866666666665,2314.152320629522,1.5382696296804381
org.apache:cocoon,Geoffrey Alexander Howard,1687.07,2618.9200745154485,1.5523481980685143
org.apache:hive,Ashish Thusoo,442.4525,692.191543065694,1.5644426081120437
org.apache:commons-cli,Henri Yandell,1354.9494444444445,2130.7241097569795,1.5725487902839193
org.apache:hive,Alan Gates,1231.1415384615384,1945.5123553700282,1.580250762882376
org.apache:digester,Craig R. McClanahan,2868.6311111111113,4535.146372355153,1.5809444284380463
org.apache:batik,Vincent Hardy,276.3265306122449,438.6472326347554,1.5874235154433542
org.apache:hive,Brock Noland,179.4165789473684,285.3644078836865,1.590513037077793
org.apache:beanutils,Gary D. Gregory,734.8600000000001,1187.2078801541033,1.6155565415917361
